Zotero Key,DOI,Title,Year,Authors
QJ5SK5PR,,"When AIOps become ""AI oops"": subverting LLM-driven IT operations via telemetry manipulation",2025,"Pasquini, Dario; Kornaropoulos, Evgenios M.; Ateniese, Giuseppe; Akgul, Omer; Theocharis, Athanasios; Efstathopoulos, Petros"
H99A2ZSN,,Robust anomaly detection in O-RAN: leveraging LLMs against data manipulation attacks,2025,"Dayaratne, Thusitha; Pham, Ngoc Duy; Vo, Viet; Lai, Shangqi; Abuadbba, Sharif; Suzuki, Hajime; Yuan, Xingliang; Rudolph, Carsten"
Z3FTJSCE,,LeakSealer: a semisupervised defense for LLMs against prompt injection and leakage attacks,2025,"Panebianco, Francesco; Bonfanti, Stefano; Trovò, Francesco; Carminati, Michele"
KASWRKF3,,"Enhancing GraphQL security by detecting malicious queries using large language models, sentence transformers, and convolutional neural networks",2025,"Perera, Irash; Abeyrathne, Hiranya; Malalgoda, Sanjeewa; Ifthikar, Arshardh"
SZQ73KNU,,MCP-guard: a defense framework for model context protocol integrity in large language model applications,2025,"Xing, Wenpeng; Qi, Zhonghao; Qin, Yupeng; Li, Yilin; Chang, Caini; Yu, Jiahui; Lin, Changting; Xie, Zhenzhen; Han, Meng"
MPG747M9,,Can multi-modal (reasoning) LLMs detect document manipulation?,2025,"Liang, Zisheng; Zewde, Kidus; Singh, Rudra Pratap; Patil, Disha; Chen, Zexi; Xue, Jiayu; Yao, Yao; Chen, Yifei; Liu, Qinzhe; Ren, Simiao"
IRPI2TAZ,,FALCON: autonomous cyber threat intelligence mining with LLMs for IDS rule generation,2025,"Mitra, Shaswata; Bazarov, Azim; Duclos, Martin; Mittal, Sudip; Piplai, Aritran; Rahman, Md Rayhanur; Zieglar, Edward; Rahimi, Shahram"
WU6PT4AQ,,Per-sender neural network classifiers for email authorship validation,2025,"Dube, Rohit"
884KRRGI,,Quantifying conversation drift in MCP via latent polytope,2025,"Shi, Haoran; Yao, Hongwei; Shao, Shuo; Jiao, Shaopeng; Peng, Ziqi; Qin, Zhan; Wang, Cong"
I2BM5KAU,,Mitigating distribution shift in graph-based android malware classification via function metadata and LLM embeddings,2025,"Tran, Ngoc N.; Said, Anwar; Abbas, Waseem; Derr, Tyler; Koutsoukos, Xenofon D."
9TEIRPG6,,Chimera: harnessing multi-agent LLMs for automatic insider threat simulation,2025,"Yu, Jiongchi; Xie, Xiaofei; Hu, Qiang; Ma, Yuhan; Zhao, Ziming"
K5HHI6XG,,Securing agentic AI: threat modeling and risk analysis for network monitoring agentic AI system,2025,"Zambare, Pallavi; Thanikella, Venkata Nikhil; Liu, Ying"
5WFGHRN6,,DUP: detection-guided unlearning for backdoor purification in language models,2025,"Hu, Man; Ding, Yahui; Yang, Yatao; Chen, Liangyu; Jia, Yanhao; Zhao, Shuai"
34H6JM5W,,Leveraging large language models for SQL behavior-based database intrusion detection,2025,"Shlezinger, Meital; Akirav, Shay; Zhou, Lei; Guo, Liang; Kessel, Avi; Li, Guoliang"
AN2H8REI,,ConfGuard: a simple and effective backdoor detection for large language models,2025,"Wang, Zihan; Zhang, Rui; Li, Hongwei; Fan, Wenshu; Jiang, Wenbo; Zhao, Qingchuan; Xu, Guowen"
NVDW2URN,,DMFI: dual-modality fine-tuning and inference framework for LLM-based insider threat detection,2025,"Kong, Kaichuan; Liu, Dongjie; Jin, Xiaobo; Geng, Guanggang; Li, Zhiying; Weng, Jian"
KDN4C857,,"Anticipate, simulate, reason (ASR): a comprehensive generative AI framework for combating messaging scams",2025,"Tan, Xue Wen; See, Kenneth; Kok, Stanley"
BMFBFDUP,,Breaking obfuscation: cluster-aware graph with LLM-aided recovery for malicious JavaScript detection,2025,"Liang, Zhihong; Wang, Xin; Hu, Zhenhuang; Song, Liangliang; Chen, Lin; Guo, Jingjing; Wang, Yanbin; Tian, Ye"
DWCDTG7X,,Counterfactual evaluation for blind attack detection in LLM-based evaluation systems,2025,"Liu, Lijia; Kondo, Takumi; Atarashi, Kyohei; Takeuchi, Koh; Li, Jiyi; Saito, Shigeru; Kashima, Hisashi"
2GZ5R566,,From text to actionable intelligence: automating STIX entity and relationship extraction,2025,"Lekssays, Ahmed; Sencar, Husrev Taha; Yu, Ting"
N3AR23QQ,,Interpretable anomaly-based DDoS detection in AI-RAN with XAI and LLMs,2025,"Chatzimiltis, Sotiris; Shojafar, Mohammad; Mashhadi, Mahdi Boloursaz; Tafazolli, Rahim"
RAC9U7U6,,Smart contract intent detection with pre-trained programming language model,2025,"Huang, Youwei; Li, Jianwen; Fang, Sen; Li, Yao; Yang, Peng; Hu, Bin"
MAD3UE3F,,"MindGuard: tracking, detecting, and attributing MCP tool poisoning attack via decision dependence graph",2025,"Wang, Zhiqiang; Zhang, Junyang; Shi, Guanquan; Cheng, HaoRan; Yao, Yunhao; Guo, Kaiwen; Du, Haohua; Li, Xiang-Yang"
ZMHQJEMJ,,PromptSleuth: detecting prompt injection via semantic intent invariance,2025,"Wang, Mengxiao; Zhang, Yuxuan; Gu, Guofei"
D9AC9P7M,,LLM-driven provenance forensics for threat investigation and detection,2025,"Mukherjee, Kunal; Kantarcioglu, Murat"
RJPPUJQE,,Mind the gap: time-of-check to time-of-use vulnerabilities in LLM-enabled agents,2025,"Lilienthal, Derek; Hong, Sanghyun"
D5B2G4VC,,AnomalyExplainer explainable AI for LLM-based anomaly detection using BERTViz and captum,2025,"Balasubramanian, Prasasthy; Kankanamge, Dumindu; Gilman, Ekaterina; Oussalah, Mourad"
975K29C9,,BlindGuard: safeguarding LLM-based multi-agent systems under unknown attacks,2025,"Miao, Rui; Liu, Yixin; Wang, Yili; Shen, Xu; Tan, Yue; Dai, Yiwei; Pan, Shirui; Wang, Xin"
QP8U3A3D,,LLM-based identification of infostealer infection vectors from screenshots: the case of aurora,2025,"Ruellan, Estelle; Clay, Eric; Ascoli, Nicholas"
FPNEXHKG,,Paladin: defending LLM-enabled phishing emails with a new trigger-tag paradigm,2025,"Pang, Yan; Meng, Wenlong; Liao, Xiaojing; Wang, Tianhao"
IXS2J4CD,,Insight-LLM: LLM-enhanced multi-view fusion in insider threat detection,2025,"Song, Chengyu; Zheng, Jianming"
9KFGVUPG,,"When MCP servers attack: taxonomy, feasibility, and mitigation",2025,"Zhao, Weibo; Liu, Jiahao; Ruan, Bonan; Li, Shaofei; Liang, Zhenkai"
GEVD3HPM,,LISA technical report: an agentic framework for smart contract auditing,2025,"Sun, Izaiah; Tan, Daniel; Deng, Andy"
VKWQE3KU,,BEACON: behavioral malware classification with large language model embeddings and deep learning,2025,"Perera, Wadduwage Shanika; Jiang, Haodi"
TV4D2GI9,,Design and development of an intelligent LLM-based LDAP honeypot,2025,"Jiménez-Román, Javier; Almenares-Mendoza, Florina; Sánchez-Macián, Alfonso"
JT7AFHXC,,"AQUA-LLM: evaluating accuracy, quantization, and adversarial robustness trade-offs in LLMs for cybersecurity question answering",2025,"Gungor, Onat; Sood, Roshan; Wang, Harold; Rosing, Tajana"
8EBRAGUN,,A framework for rapidly developing and deploying protection against large language model attacks,2025,"Swanda, Adam; Chang, Amy; Chen, Alexander; Burch, Fraser; Kassianik, Paul; Berlin, Konstantin"
RTXP4VB7,,KubeGuard: LLM-assisted kubernetes hardening via configuration files and runtime logs analysis,2025,"Cohen, Omri Sgan; Malul, Ehud; Meidan, Yair; Mimran, Dudu; Elovici, Yuval; Shabtai, Asaf"
Q8TDAGMX,,Cross-service threat intelligence in LLM services using privacy-preserving fingerprints,2025,"Gill, Waris; Isak, Natalie; Dressman, Matthew"
VXS4GKD6,,Adversarial bug reports as a security risk in language model-based automated program repair,2025,"Przymus, Piotr; Happe, Andreas; Cito, Jürgen"
FBZPAE5C,,An ethically grounded LLM-based approach to insider threat synthesis and detection,2025,"Gelman, Haywood; Hastings, John D.; Kenley, David"
85PA5KH4,,Send to which account? Evaluation of an LLM-based scambaiting system,2025,"Siadati, Hossein; Jafarian, Haadi; Jafarikhah, Sima"
RB9BCEJU,,Fraud detection and risk assessment of online payment transactions on e-commerce platforms based on LLM and GCN frameworks,2025,"Luo, RuiHan; Wang, Nanxi; Zhu, Xiaotong"
XD45W9N2,,Securing LLM-generated embedded firmware through AI agent-driven validation and patching,2025,"Abtahi, Seyed Moein; Azim, Akramul"
XUMTVVAR,,TraceLLM: security diagnosis through traces and smart contracts in ethereum,2025,"Wang, Shuzheng; Huang, Yue; Xu, Zhuoer; Huang, Yuming; Tang, Jing"
SD4SKP6K,,KGBERT4Eth: a feature-complete transformer powered by knowledge graph for multi-task ethereum fraud detection,2025,"Jia, Yifan; Tian, Ye; Zhang, Liguo; Wang, Yanbin; Sun, Jianguo; Song, Liangliang"
4QD52D4P,,AI kill switch for malicious web-based LLM agent,2025,"Lee, Sechan; Park, Sangdon"
2CHHXVCA,,Exploring backdoor attack and defense for LLM-empowered recommendations,2025,"Ning, Liangbo; Fan, Wenqi; Li, Qing"
CT44WBZV,,Benchmarking LLM-assisted blue teaming via standardized threat hunting,2025,"Meng, Yuqiao; Tang, Luoxi; Yu, Feiyang; Li, Xi; Yan, Guanhua; Yang, Ping; Xi, Zhaohan"
43RKP9H5,,Sentinel agents for secure and trustworthy agentic AI in multi-agent systems,2025,"Gosmar, Diego; Dahl, Deborah A."
4HAPX9WD,,EvoMail: self-evolving cognitive agents for adaptive spam and phishing email defense,2025,"Huang, Wei; Chu, De-Tian; Bai, Lin-Yuan; Kang, Wei; Zhang, Hai-Tao; Li, Bo; Han, Zhi-Mo; Ge, Jing; Lin, Hai-Feng"
Z9C972M7,,Can LLMs handle WebShell detection? Overcoming detection challenges with behavioral function-aware framework,2025,"Han, Feijiang; Zhang, Jiaming; Deng, Chuyi; Tang, Jianheng; Liu, Yunhuai"
JX7DKVPJ,,MobiLLM: an agentic AI framework for closed-loop threat mitigation in 6G open RANs,2025,"Sharma, Prakhar; Wen, Haohuang; Yegneswaran, Vinod; Gehani, Ashish; Porras, Phillip; Lin, Zhiqiang"
IXBG7BF2,,SecureBERT 2.0: advanced language model for cybersecurity intelligence,2025,"Aghaei, Ehsan; Jain, Sarthak; Arun, Prashanth; Sambamoorthy, Arjun"
